005	lr-mame	5
10yard	lr-fbneo	5
1941	lr-fbneo	5
1942	lr-fbneo	5
1943	lr-fbneo	5
1943kai	lr-fbneo	5
1944	lr-fbneo	5
1945kiii	lr-fbneo	5
19xx	lr-fbneo	5
1on1gov	lr-mame2016	5
2020bb	lr-fbneo	5
20pacgal	lr-fbneo	5
25pacman	lr-fbneo	5
280zzzap	lr-mame	5
3countb	lr-fbneo	5
3in1semi	lr-fbneo	5
3kokushi	lr-fbneo	5
3on3dunk	lr-fbneo	5
3stooges	lr-fbneo	5
3wonders	lr-fbneo	5
3x3puzzl	lr-fbneo	5
40love	lr-mame	5
4dwarrio	lr-fbneo	5
4enraya	lr-fbneo	5
4in1	lr-fbneo	5
4in1boot	lr-fbneo	5
64street	lr-fbneo	5
720	lr-mame	5
7ordi	lr-fbneo	5
88games	lr-fbneo	5
8ball	lr-mame	5
8ballact	lr-mame	5
9ballsht	lr-mame	5
aa	lr-fbneo	5
aafb	lr-mame	5
abaseb	lr-mame	5
abcop	lr-fbneo	5
aburner2	lr-fbneo	5
ace	lr-mame	5
aceattac	lr-fbneo	5
acrobatm	lr-fbneo	5
actfancr	lr-fbneo	5
actionhw	lr-fbneo	5
ad2083	lr-fbneo	5
aerofgt	lr-fbneo	5
aerofgts	lr-mame	5
afighter	lr-fbneo	5
agallet	lr-fbneo	5
agress	lr-fbneo	5
airass	lr-fbneo	5
airattck	lr-fbneo	5
airbustr	lr-fbneo	5
airduel	lr-fbneo	5
airrace	lr-mame	5
airwolf	lr-fbneo	5
ajax	lr-fbneo	5
akatana	lr-fbneo	5
akiss	lr-mame	5
akkaarrh	lr-fbneo	5
alcon	lr-fbneo	5
alexkidd	lr-fbneo	5
alibaba	lr-fbneo	5
alien3	lr-mame	5
alienar	lr-fbneo	5
aliencha	lr-fbneo	5
alienres	lr-fbneo	5
aliens	lr-fbneo	5
aliensec	lr-fbneo	5
aliensyn	lr-fbneo	5
aligator	lr-fbneo	5
alinvade	lr-mame	5
alleymas	lr-mame	5
alpha1v	lr-fbneo	5
alphaho	lr-mame	5
alpham2	lr-fbneo	5
alpine	lr-fbneo	5
altair	lr-mame	5
altbeast	lr-fbneo	5
amazon	lr-fbneo	5
ambush	lr-fbneo	5
amerdart	lr-mame	5
amidar	lr-fbneo	5
amspdwy	lr-fbneo	5
androdun	lr-fbneo	5
androidp	lr-fbneo	5
angelkds	lr-fbneo	5
animaljr	lr-mame	5
animechmp	lr-mame	5
anteater	lr-fbneo	5
aodk	lr-fbneo	5
aof	lr-fbneo	5
aof2	lr-fbneo	5
aof3	lr-fbneo	5
aoh	lr-fbneo	5
apb	lr-mame	5
aplarail	lr-mame	3
apparel	lr-mame	5
appoooh	lr-fbneo	5
aquajack	lr-fbneo	5
aquarium	lr-fbneo	5
aquarush	lr-mame2010	3
ar_airh	lr-mame	5
ar_blast	lr-mame	5
ar_bowl	lr-mame	5
ar_dart	lr-mame	5
ar_dlta	lr-mame	5
ar_fast	lr-mame	5
ar_ldrb	lr-mame	5
ar_ninj	lr-mame	5
ar_pm	lr-mame	5
ar_rdwr	lr-mame	5
ar_sdwr	lr-mame	5
ar_socc	lr-mame	5
ar_spot	lr-mame	5
ar_sprg	lr-mame	5
ar_xeon	lr-mame	5
arabfgt	lr-mame	5
arabian	lr-fbneo	5
arabianm	lr-fbneo	5
arbalest	lr-fbneo	5
arcadecl	lr-fbneo	5
arcadian	lr-fbneo	5
archrivl	lr-mame	5
area51	lr-mame2016	5
area51mx	lr-mame	5
arescue	lr-fbneo	5
argus	lr-fbneo	5
arkanoid	lr-fbneo	5
arkarea	lr-fbneo	5
arkatour	lr-fbneo	5
arknoid2	lr-fbneo	5
arkretrn	lr-fbneo	5
arlingtn	lr-mame	5
armchmp2	lr-mame	5
armedf	lr-fbneo	5
