A Question of Sport	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A Question of Sport (1988).pdf
A-10 Tank Killer	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A-10 Tank Killer (1989).pdf
A-Train	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A-Train (1992).pdf
A-Train	fr	http://lucasabandonware.free.fr/manuels/A-Train.zip	filter=*Manuel*
A.G.E.	en-gb,fr,it	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A.G.E. (1991).pdf
A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game (1998).TXT
A320 Airbus (Edition Europa) (1992)	en-gb,de	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A320 Airbus (Edition Europa) (1992).doc
A320 Airbus (Edition USA) (1993)	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/A320 Airbus (Edition USA) (1993).doc
AAARGH!	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/AAARGH! (1988).pdf
Abadia del Crimen, La	es	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abadia del Crimen, La (1987).pdf
Abandoned Places - A Time for Heroes	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abandoned Places - A Time for Heroes (1992).pdf
Abbey, The	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abbey, The (1993).txt
ABC Wide World of Sports Boxing	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/ABC Wide World of Sports Boxing (1991).pdf
ABC-Talk	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/ABC-Talk (1993).TXT
Abductor	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abductor (1996).TXT
Abmis the Lion	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abmis the Lion (1996).TXT
Abrams Battle Tank	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abrams Battle Tank (1988).txt
Absolute Zero	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Absolute Zero (1995).pdf
Abuse	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abuse (1995).pdf
Abyss of Pandemonium	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Abyss of Pandemonium (1998).txt
Accordion	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Accordion (1990).TXT
Ace	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Ace (1994).TXT
ACE 2	fr	https://archive.org/download/ace-2/ACE 2 fr.pdf
Ace of Aces	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Ace of Aces (1987).pdf
Aces High - The True Air Duel Simulator	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aces High - The True Air Duel Simulator (1996).TXT
Aces of the Deep	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aces of the Deep (1994).pdf
Aces of the Pacific	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aces of the Pacific (1992).pdf
Aces Over Europe	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Aces Over Europe (1993).pdf
Acheton	en	https://archive.org/download/exov5_2/Content/XODOSMetadata.zip/Manuals/MS-DOS/Acheton (1987).pdf
