$100,000 Pyramid
'Nam 1965-1975
+K
007 - Licence to Kill
1 Ton
1000 Miglia
1000 Miler
10Rogue
10th Frame
11th Hour, The
120 Degrees Below Zero
123-Talk
15 Move Hole Puzzle
15 Puzzle, The
15x15
16
1830 Railroads and Robber Barons
1869
1942 The Pacific Air War
1992tris
1993
1994Pool+
1995Card+
1998 Amerika
1st Person Pinball
2 Fast 4 You
20,000 Leagues Under the Sea
2048x2048
21
221B Baker Street
2400 AD
25
2x2
3 Card High Low Poker
3 Point Basketball
3 Skulls of the Toltecs
3-D Body Adventure
3-D TableSports
3-D Tic-Tac-Toe
3-Demon
3-K Trivia
386 Spys
3D Ball
3D Ball Blaster
3D Baller
3D Bomber
3D CyberPuck
3D Dinosaur Adventure
3D Hamster's Adventure
3D Lemmings Winterland
3D Pinball
3D Pitfall
3D Space Fighter
3D Trek
3D World Boxing
3D Xmas Adventure - Santa's Rescue
3DCube
3DHero
3DWorld
3Detris
4 Balls Billiards
4 Queens Computer Casino
4 Soccer Simulators
4-D Boxing
4-Get-It
4-mok
40080
4D Prince of Persia
4D Sports Tennis
4K Adventure
4th and Inches
4x4 Off-Road Racing
4x4 Team
50 Mission Crush
5X
5th Fleet, The
688 Attack Sub
7 Colors
747-400 Precision Simulator
7th Guest, The
8088 Othello
9-Hole Miniature Golf
905
A Clue's Solution
A La Carrera
A Question of Sport
A-10 Tank Killer
A-MIS Adventure
A-Team, The
A-Train
A.D Cop
A.G.E.
A.J.'s World of Discovery
A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game
A320 Airbus
AAARGH!
ABC Fun Keys
ABC Monday Night Football
ABC Wide World of Sports Boxing
ABC-Talk
ACE 2
ACE Air Combat Emulator
AEGIS Guardian of the Fleet
AGI Tetris
AH-3 - ThunderStrike
AJ's Quest
ALF - The First Adventure
ALF's Thinking Skills
ALF's U.S. Geography
AM's Mini Golf 3D
ANAL - The Rectum Adventure
ANIMAC
APB
APBA Pro Football
APBA Pro Hockey
ARK
ARL 96
ARSENAL Taste the Power
ASCII DOOM
ATAC - The Secret War Against Drugs
AUTS - The Ultimate Stress Relief Game
AV8B Harrier Assault
Abadia del Crimen, La
Abandoned Places - A Time for Heroes
Abaron
Abbey, The
