007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Arc of Yesod, The	en	http://www.digitpress.com/library/manuals/c64/arc_of_yesod.txt
Arcade Flight Simulator	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Arcade Flight Simulator (Europe).pdf
Arcadia 64	en	https://archive.org/download/Commodore64Manuals/Arcadia 64 (Europe).pdf
Archon 2 - Adept	en	https://archive.org/download/Commodore64Manuals/Archon II - Adept (USA).pdf
Arctic Fox	en	https://archive.org/download/Commodore64Manuals/Arcticfox (USA).pdf
Ark Pandora	en	https://archive.org/download/Commodore64Manuals/Ark Pandora (Europe).pdf
Arkanoid	en	https://archive.org/download/Commodore64Manuals/Arkanoid (Europe).pdf
Arkanoid - Revenge of Doh	en-gb,de,fr	https://archive.org/download/Arkanoid_2_Revenge_of_Doh_1988_Imagine_Software/Arkanoid_2_Revenge_of_Doh_1988_Imagine_Software.pdf
Armageddon	en	http://www.digitpress.com/library/manuals/c64/Armageddon.txt
Armageddon Man, The	en	https://archive.org/download/Armageddon_Man_The_1987_Martech_Games/Armageddon_Man_The_1987_Martech_Games.pdf
Armourdillo	en	https://archive.org/download/Armourdillo_1987_CodeMasters/Armourdillo_1987_CodeMasters.pdf
Army Days	en	https://archive.org/download/Commodore64Manuals/Army Days (Europe).pdf
Army Moves	en	https://archive.org/download/Commodore64Manuals/Army Moves (Europe).pdf
Arnie	en	https://archive.org/download/Commodore64Manuals/Arnie (Europe).pdf
Arnie Armchair's Howzat Cricket Game	en	https://archive.org/download/Howzat_1984_Armchair_Entertainment/Howzat_1984_Armchair_Entertainment.pdf
Around the World in 80 Days	en-gb,de	https://archive.org/download/Commodore64Manuals/In80DaysAroundTheWorldeuropedisk1SideA.pdf
Artura	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Artura (Europe).pdf
Asterix and the Magic Cauldron	en	http://www.digitpress.com/library/manuals/c64/Asterix_magic_cauldron.txt
Astro Chase	en	https://archive.org/download/Commodore64Manuals/Astro Chase (USA).pdf
Astro Marine Corps	en-gb,de,fr	https://archive.org/download/A.M.C._Astro_Marine_Corps_1990_Dinamic/A.M.C._Astro_Marine_Corps_1990_Dinamic.pdf
Astroblitz	en	https://archive.org/download/Commodore64Manuals/Astroblitz (USA).pdf
Atom Ant	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Atom Ant - Up and Atom (Europe).pdf
Atomic Robo-Kid	en-gb,de,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Atomic Robo-Kid - Manual-DE-ENG-FR-IT.pdf
Atomic Robo-Kid	fr	https://archive.org/download/Atomic_Robo-Kid_1990_Activision_FR/Atomic_Robo-Kid_1990_Activision_FR.pdf
Atomix	de	https://archive.org/download/Commodore64Manuals/Atomix (Germany).pdf
Attack of the Mutant Camels	en	https://archive.org/download/Attack_of_the_Mutant_Camels_1983_HES/Attack_of_the_Mutant_Camels_1983_HES.pdf
ATV Simulator	en-gb,de,es,fr,it	https://archive.org/download/ATV_All_Terrain_Vehicle_Simulator_1987_Codemasters/ATV_All_Terrain_Vehicle_Simulator_1987_Codemasters.pdf
Avenger	en	https://archive.org/download/Commodore64Manuals/Avenger (Commodore) (USA).pdf
Aztec Challenge	en	https://archive.org/download/Commodore64Manuals/Aztec Challenge (USA).pdf
Back to Reality	en	https://archive.org/download/Commodore64Manuals/Back to Reality (Europe).pdf
Back to the Future	en	https://archive.org/download/Commodore64Manuals/Back to the Future (Europe).pdf
Back to the Future II	en-gb,de,es,fr,it,nl	https://archive.org/download/Back_to_the_Future_Part_II_1990_Image_Works/Back_to_the_Future_Part_II_1990_Image_Works.pdf
Back to the Future Part III	en	https://archive.org/download/Commodore64Manuals/Back to the Future Part III (Europe).pdf
Bad Cat	en-gb,de	https://archive.org/download/Bad_Cat_1987_Rainbow_Arts/Bad_Cat_1987_Rainbow_Arts.pdf
BadLands	en	https://archive.org/download/Commodore64Manuals/BadLands (Europe).pdf
Badlands	en	https://archive.org/download/Commodore64Manuals/BadLands (Europe).pdf
Ballblazer	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/Ballblazer (USA).pdf
Bangkok Knights	en-gb,fr	https://archive.org/download/Commodore64Manuals/Bangkok Knights (Europe).pdf
Barbarian	en	https://archive.org/download/Barbarian_The_Ultimate_Warrior_1987_Palace/Barbarian_The_Ultimate_Warrior_1987_Palace.pdf
