007 - A View to a Kill	en-gb,nl	https://archive.org/download/Commodore64Manuals/ViewToAKillAeurope.pdf
Defenders of the Earth	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Defenders of the Earth (Europe).pdf
Deliverance - Stormlord II	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Stormlord II - Deliverance (Europe).pdf
Delta	en	https://archive.org/download/delta_manual/delta_manual.jpg
Demon Blue	en	https://archive.org/download/Demon_Blues_1992_MicroValue/Demon_Blues_1992_MicroValue.pdf
Demon's Kiss	en	https://archive.org/download/Commodore64Manuals/Demon's Kiss (Europe).pdf
Denaris	en-gb,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Denaris - Manual-ENG-FR-IT.pdf
Denarius	en	https://archive.org/download/Commodore64Manuals/Denarius (Europe).pdf
Desert Fox	en	https://archive.org/download/Commodore64Manuals/Desert Fox (Europe).pdf
Designer's Pencil, The	en	https://archive.org/download/The_Designers_Pencil_Manual/The_Designers_Pencil_Manual.pdf
Desolator	en	https://archive.org/download/Commodore64Manuals/Desolator (Europe).pdf
Desolator	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Desolator (Europe).pdf
Deviants	en	https://archive.org/download/Commodore64Manuals/Deviants (Europe).pdf
Diamond Mine	en	https://archive.org/download/Commodore64Manuals/Diamond Mine (USA).pdf
Diary 64	en	https://archive.org/download/Diary_64_1983_Handic/Diary_64_1983_Handic.pdf
Dick Tracy	en	https://archive.org/download/Commodore64Manuals/Dick Tracy (Europe).pdf
Die Hard II - Die Harder	en	https://archive.org/download/Commodore64Manuals/Die Hard II - Die Harder (Europe).pdf
Dig Dug	en	https://archive.org/download/DigDugDatasoft/Dig_Dug_Datasoft.pdf
Dinky Doo	en	https://archive.org/download/Commodore64Manuals/Dinky Doo (Europe).pdf
Diplomacy	en	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Diplomacy - Manual-ENG.pdf
Dizzy Dice	en-gb,da,de	https://archive.org/download/Commodore64Manuals/Dizzy Dice (Europe).pdf
Dizzy Down the Rapids	en	http://www.digitpress.com/library/manuals/c64/DizzyDownTheRapids.txt
Dizzy Prince of the Yolk Folk	en	http://www.digitpress.com/library/manuals/c64/DizzyPrinceOfTheYolkFolk.txt
Doc the Destroyer	en	https://archive.org/download/Commodore64Manuals/Doc the Destroyer (Europe).pdf
Dogfight 2187	en-gb,de,fr,nl	https://archive.org/download/AmstradCPCManuals_201812/Dogfight 2187 (Europe).pdf
Dominator	en	https://archive.org/download/Commodore64Manuals/Dominator (Europe).pdf
Donald Duck's Playground	de	https://archive.org/download/Commodore64Manuals/Donald Duck's Playground (USA).pdf
Donkey Kong	en	https://archive.org/download/Commodore64Manuals/Donkey Kong (Ocean) (Europe).pdf
Doomdark's Revenge	en	https://archive.org/download/Commodore64Manuals/Doomdark's Revenge (USA).pdf
Dot Gobbler	en	https://archive.org/download/Commodore64Manuals/Dot Gobbler (Normal) (USA).pdf
Double Dragon	en	https://archive.org/download/Commodore64Manuals/Double Dragon (Europe).pdf
Double Dragon II - The Revenge	en-gb,de,it	https://archive.org/download/Double_Dragon_II_The_Revenge_1989_Virgin_Mastertronic/Double_Dragon_II_The_Revenge_1989_Virgin_Mastertronic.pdf
Double Dragon III - The Rosetta Stone	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Double Dragon III - The Rosetta Stone (Europe).pdf
Double Take	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/Double Take (Europe).pdf
Dragon Breed	en	https://archive.org/download/Commodore64Manuals/Dragon Breed (USA) (Side A).pdf
Dragon Ninja	en	https://archive.org/download/Commodore64Manuals/Bad Dudes vs. Dragon Ninja (USA).pdf
Dragon Spirit	en	https://archive.org/download/Commodore64Manuals/Dragon Spirit (Europe).pdf
Dragonsden	en	https://archive.org/download/Commodore64Manuals/DragonsDen (USA).pdf
Dream Warrior	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Dream Warrior (Europe).pdf
Drelbs	en	https://archive.org/download/Commodore64Manuals/Drelbs (USA).pdf
Driller	en	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Driller - Manual-ENG.pdf
Dropzone	en	http://www.digitpress.com/library/manuals/c64/Dropzone.txt
Druid	en	https://archive.org/download/Druid_1986_Firebird_Software/Druid_1986_Firebird_Software.pdf
Duck Shoot	en	https://archive.org/download/Duck_Shoot_1984_Mastertronic/Duck_Shoot_1984_Mastertronic.pdf
Dynamic Duo	en	https://archive.org/download/AmstradCPCManuals_201812/Dynamic Duo (Europe).pdf
Dynamite Dan	en	https://archive.org/download/Commodore64Manuals/Dynamite Dan (Europe).pdf
Dynamite Dux	en-gb,de,fr,it	https://archive.org/download/Dynamite_Dux_1989_Activision/Dynamite_Dux_1989_Activision.pdf
Dynasty Wars	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/Dynasty Wars (Europe).pdf
E-Motion	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/E-Motion (Europe).pdf
Eagles	en	https://archive.org/download/Commodore64Manuals/Eagles (Hewson Consultants Ltd.) (Europe).pdf
Eagles Nest	en	https://archive.org/download/Commodore64Manuals/IntoTheEaglesNesteuropeunl.pdf
Edd the Duck!	en	https://archive.org/download/Commodore64Manuals/Edd the Duck! (Europe).pdf
Eddie Kidd Jump Challenge	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Eddie_Kidd_Jump_Challenge_-_1985_-_Martech_Games.pdf
Eidolon, The	en	https://archive.org/download/agm_Eidolon/Eidolon.pdf
Elektra Glide	en	https://archive.org/download/Commodore64Manuals/Elektra Glide (Europe).pdf
Elite	en	https://archive.org/download/Elite_1985_Firebird_Software/Elite_1985_Firebird_Software.pdf
Elven Warrior	en	https://archive.org/download/Commodore64Manuals/Elven Warrior (Europe).pdf
Elvira - The Arcade Game	en	https://archive.org/download/Commodore64Manuals/Elvira - The Arcade Game (Europe).pdf
Emlyn Hughes International Soccer	en	https://archive.org/download/Commodore64Manuals/Emlyn Hughes International Soccer (Europe).pdf
Encounter	en	https://archive.org/download/Commodore64Manuals/Encounter (Novagen Software) (Europe).pdf
Enduro Racer	en	https://archive.org/download/enduro_manual_202108/enduro_manual.jpg
Endzone	en-gb,de,it	https://archive.org/download/Commodore64Manuals/Endzone (Europe).pdf
Enigma Force	de	https://archive.org/download/Commodore64Manuals/Enigma Force (USA).pdf
Enlightenment - Druid II	en	https://archive.org/download/Commodore64Manuals/Enlightenment - Druid II (Europe).pdf
Entombed	en	https://archive.org/download/Commodore64Manuals/Entombed (USA).pdf
Erebus	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/Erebus (Europe).pdf
Ernie's Magic Shapes	en	https://archive.org/download/erniesmagicshapescbssoftware/Ernies_Magic_Shapes_CBS_Software.pdf
Escape from the Planet of the Robot Monsters	en-gb,de,fr,it	https://archive.org/download/escaperobot/escaperobot.pdf
Escape MCP	en	https://archive.org/download/Commodore64Manuals/Escape MCP (USA).pdf
ESWAT	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/ESWAT (Europe).pdf
European 5-A-Side	en	https://archive.org/download/Commodore64Manuals/European 5-a-Side (Europe).pdf
European Soccer Challenge	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/European Soccer Challenge (Europe).pdf
Evening Star	en	https://archive.org/download/AmstradCPCManuals_201812/Evening Star (Europe).pdf
Excaliba	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/Excaliba (Europe).pdf
Exile	en	https://archive.org/download/Commodore64Manuals/Exile (Europe).pdf
Exolon	en	https://archive.org/download/Commodore64Manuals/Exolon (Europe).pdf
Exploding Fist	en	https://project64.c64.org/Games/wafofexfist.txt
Explorer	en	https://archive.org/download/Commodore64Manuals/Explorer (Europe).pdf
Express Raider	en	https://archive.org/download/Commodore64Manuals/Express Raider (USA).pdf
Exterminator	en	https://archive.org/download/Commodore64Manuals/Exterminator (Audiogenic Software Ltd.) (Europe).pdf
Extreme	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Extreme (Europe).pdf
Eye	en	https://archive.org/download/Commodore64Manuals/Eyeeurope.pdf
F-15 Strike Eagle	en	https://archive.org/download/f-15-strike-eagle-august-15-1987-change-7-micro-prose/F-15_Strike_Eagle_August_15_1987_Change_7_Micro_Prose.pdf
F-16 Combat Pilot	en	https://archive.org/download/AmstradCPCManuals_201812/F-16 Combat Pilot (Europe).pdf
Facemaker	en	https://archive.org/download/Facemaker_1983_Spinnaker_a/Facemaker_1983_Spinnaker_a.pdf
Falcon - The Renegade Lord	en	http://www.digitpress.com/library/manuals/c64/falcon.txt
Falconian Invaders	en	https://archive.org/download/Commodore64Manuals/FalconianInvadersusa.pdf
Fantasy World Dizzy	en	http://www.digitpress.com/library/manuals/c64/FantasyWorldDizzy.txt
Fast Food	en	http://www.digitpress.com/library/manuals/c64/fastfood.txt
Fernandez Must Die	en	https://archive.org/download/AmstradCPCManuals_201812/Fernandez Must Die (Europe).pdf
Feud	en	http://www.digitpress.com/library/manuals/c64/feud.txt
Fiendish Freddy's Big Top o' Fun + International Soccer + Flimbo's Quest + Klax	en	https://archive.org/download/AmstradCPCManuals_201812/Fiendish Freddy's Big Top O' Fun (Europe).pdf
Fight Night	en	https://archive.org/download/Commodore64Manuals/FightNighteurope.pdf
Fighter Bomber	en-gb,it	https://archive.org/download/c64man_fighter-bomber/c64man_fighter-bomber_images.zip
Fighter Pilot	en	https://archive.org/download/Fighter_Pilot_1984_Digital_Integration/Fighter_Pilot_1984_Digital_Integration.pdf
Fighting Soccer	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Fighting Soccer (Europe).pdf
Final Fight	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Final Fight (Europe) (Disk 1).pdf
Finders Keepers	en-gb,de,es,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Finders Keepers (Europe).pdf
Fire & Forget II - The Death Convoy	en	http://www.digitpress.com/library/manuals/c64/fire_forget_ref.txt
Fire One	en	https://archive.org/download/Commodore64Manuals/Starfireusa.pdf
Fire Track	en	https://archive.org/download/Fire_Track_1987_Electric_Dreams/Fire_Track_1987_Electric_Dreams.pdf
Firefly	en-gb,de,fr	https://archive.org/download/Commodore64Manuals/Fireflyeurope.pdf
Firelord	en	https://archive.org/download/AmstradCPCManuals_201812/Firelord (Europe).pdf
Firetrap	en	https://archive.org/download/firetrap_manual/firetrap_manual.pdf
Fist II	en	https://archive.org/download/Commodore64Manuals/Fist-TheLegendContinuesusa.pdf
Flash Gordon	en	https://archive.org/download/Flash_Gordon_1986_Mastertronic/Flash_Gordon_1986_Mastertronic.pdf
Flintstones - Yabba-Dabba-Dooo!	en	https://archive.org/download/AmstradCPCManuals_201812/Flintstones, The (Europe).pdf
Flip & Flop	en	https://archive.org/download/agm_Flip_Flop/Flip__Flop.pdf
Flying Feathers	en	http://www.digitpress.com/library/manuals/c64/Flying_Feathers.txt
Flying Shark	en	http://www.digitpress.com/library/manuals/c64/flyingshark.txt
Football Manager	en	https://archive.org/download/footman_manual/footman_manual.jpg
Football Manager 2	en-gb,de,es,it	https://archive.org/download/AmstradCPCManuals_201812/Football Manager 2 (Europe).pdf
Footballer of the Year 2	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Footballer_of_the_Year_2_-_1989_-_Gremlin_Graphics.htm
Forbidden Forest	en	https://archive.org/download/Commodore64Manuals/ForbiddenForestusa.pdf
Force One	en	http://www.digitpress.com/library/manuals/c64/forceone.txt
Forgotten Worlds	en	http://www.digitpress.com/library/manuals/c64/forgottenworlds.txt
Forgotten Worlds	fr	https://archive.org/download/AtariSTManuals_201812/Forgotten Worlds.pdf
Formula 1 Simulator	en-gb,de,es,fr,it	https://archive.org/download/Formula_1_Simulator_1985_Mastertronic/Formula_1_Simulator_1985_Mastertronic.pdf
Fraction Fever	en	https://archive.org/download/fraction-fever-spinnaker-software/Fraction_Fever_Spinnaker_Software.pdf
Frank Bruno's Boxing	en	https://archive.org/download/Commodore64Manuals/FrankBrunosBoxingeurope.pdf
Frankie Goes to Hollywood	en-gb,de,es,fr	https://archive.org/download/Commodore64Manuals/FrankieGoesToHollywoodeurope.pdf
Frenesis	en	http://www.digitpress.com/library/manuals/c64/frenesis.txt
Friday the 13th	en	https://archive.org/download/AmstradCPCManuals_201812/Friday the 13th (Europe).pdf
Frog Master	en	https://archive.org/download/Commodore64Manuals/FrogMasterusa.pdf
Frogger	en	https://archive.org/download/Commodore64Manuals/FroggerparkerBrothersusa.pdf
Frogger 64	en	http://www.digitpress.com/library/manuals/c64/frogger64.txt
Frogger II - Threeedeep!	en	https://archive.org/download/Commodore64Manuals/FroggerIi-ThreeDeepusa.pdf
Fruit Machine Simulator	en-gb,de,fr,it	https://archive.org/download/Commodore64Manuals/FruitMachineSimulatoreurope.pdf
Fungus	en-gb,de,es,fr,nl,no	https://archive.org/download/game_manual_Fungus/Fungus.pdf
G-Loc R360	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/G-Loc R360 (Europe).pdf
Galaxian	en	https://archive.org/download/Commodore64Manuals/Galaxianusa.pdf
Game Over	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Game Over (Europe).pdf
Gangster	en	http://www.digitpress.com/library/manuals/c64/Gangster.txt
Garfield - Winter's Tail	en	http://www.digitpress.com/library/manuals/c64/Garfield_Winter's_Tail.txt
Gateway to Apshai	en	https://archive.org/download/Commodore64Manuals/GatewayToApshaiusa.pdf
Gauntlet	en	https://archive.org/download/GauntletGameManualMindscapeInc.19851987/Gauntlet - Game Manual (Mindscape Inc.1985-1987).pdf
Gauntlet II	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Gauntlet II (Europe).pdf
Gazza II	en-gb,fr	https://archive.org/download/AmstradCPCManuals_201812/Gazza II (Europe).pdf
Ghettoblaster	en	http://www.digitpress.com/library/manuals/c64/Ghettoblaster.txt
Ghost Chaser	en	http://www.digitpress.com/library/manuals/c64/ghost_chaser.txt
Ghostbusters	en	http://www.digitpress.com/library/manuals/c64/ghostbusters.txt
Ghostbusters 2	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Ghostbusters II (Europe) (Disk 1).pdf
Ghosts'n Goblins	en	http://www.digitpress.com/library/manuals/c64/GhostsNGoblins.txt
Ghosts'n Goblins	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Ghosts 'n Goblins (Europe).pdf
Ghouls	en	http://www.digitpress.com/library/manuals/c64/Ghouls.txt
Ghouls 'n' Ghosts	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Ghouls 'n' Ghosts (Europe).pdf
Glider Rider	en	https://archive.org/download/glider_manual/glider_manual.jpg
Golden Axe	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Golden Axe (Europe) (Disk 1).pdf
Gorf	en	https://archive.org/download/Commodore64Manuals/Gorfusa.pdf
Gothik	en	https://archive.org/download/c64man_gothik/c64man_gothik_images.zip
Graffiti Man	en-gb,de	https://archive.org/download/Commodore64Manuals/GraffitiManeurope.pdf
Graham Gooch's All Star Cricket	en	https://archive.org/download/Graham_Goochs_All_Star_Cricket_1989_Audiogenic/Graham_Goochs_All_Star_Cricket_1989_Audiogenic.pdf
Grand Prix 500cc	en-gb,de,es,fr,it	https://archive.org/download/Commodore64Manuals/500cc Grand Prix (France).pdf
Grand Prix Simulator	en	http://www.digitpress.com/library/manuals/c64/grandprixsim.txt
Grand Prix Simulator 2	en	http://www.digitpress.com/library/manuals/c64/grand_prix_sim_2.txt
Great American Cross-Country Road Race, The	en	https://archive.org/download/thegreatamericancrosscountryroadraceinstructionsactivision/The_Great_American_Cross_Country_Road_Race_Instructions_Activision.pdf
Great Escape, The	en-gb,fr	https://archive.org/download/AmstradCPCManuals_201812/Great Escape, The (Europe).pdf
Green Beret	en	http://www.digitpress.com/library/manuals/c64/konami_collection.txt
Gremlins 2	en	https://archive.org/download/c64man_gremlins-2/c64man_gremlins-2_images.zip
Greyfell - The Legend of Norman	en-gb,de,nl	https://archive.org/download/AmstradCPCManuals_201812/Greyfell (Europe).pdf
Gridrunner	en	https://archive.org/download/Commodore64Manuals/Gridrunnerusa.pdf
Gridrunner II - Attack of the Mutant Camels	en	https://archive.org/download/Attack_of_the_Mutant_Camels_1983_HES/Attack_of_the_Mutant_Camels_1983_HES.pdf
Gryzor	en	http://www.digitpress.com/library/manuals/c64/Gryzor.txt
Guadalcanal	en	https://archive.org/download/AmstradCPCManuals_201812/Guadalcanal (Europe).pdf
Guardian Angel, The	en	http://www.digitpress.com/library/manuals/c64/Guardian_Angel.txt
Gunship	en	https://archive.org/download/Gunship_1986_Microprose_Software/Gunship_1986_Microprose_Software.pdf
Gunstar	en	http://www.digitpress.com/library/manuals/c64/gunstar.txt
Gyroscope	en	http://www.digitpress.com/library/manuals/c64/Gyroscope.txt
Gyruss	en	https://archive.org/download/Commodore64Manuals/Gyrussusa.pdf
H.E.R.O. - Helicopter Emergency Rescue Operation	en	https://archive.org/download/Commodore64Manuals/Hero-HelicopterEmergencyRescueOperationusa.pdf
Hacker	en	http://www.digitpress.com/library/manuals/c64/hacker.txt
Hacker II	en	https://archive.org/download/hacker-ii-manual-2/hacker II manual 2.jpg
Hades Nebula	en	https://archive.org/download/AtariSTManuals_201812/Hades Nebula.pdf
Halftime Battlin' Bands featuring... the Jazz Scats!	en	https://archive.org/download/HalftimeBattlinBandsCBSSoftware/Halftime_Battlin_Bands_CBS_Software_jp2.zip
Halls of the Things, The	en	https://project64.c64.org/Games/hallth10.txt
Hammerfist	en-gb,de,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Hammerfist - Manual-DE-ENG-FR-IT.pdf
Harbour Attack	en	https://archive.org/download/Harbour_Attack_198x_Commodore/Harbour_Attack_198x_Commodore.pdf
Hard Drivin'	en-gb,it	https://archive.org/download/AmstradCPCManuals_201812/Hard Drivin' (Europe).pdf
Hardball!	en	http://www.digitpress.com/library/manuals/c64/eon.txt
Harrier Attack	en	https://archive.org/download/Harrier_Attack_1984_Durell_Software/Harrier_Attack_1984_Durell_Software.pdf
Harvey Headbanger	en	https://archive.org/download/Harvey_Headbanger_1986_Firebird_Software/Harvey_Headbanger_1986_Firebird_Software.pdf
Headache	en	http://www.digitpress.com/library/manuals/c64/Headache.txt
Heartland	da,de,es,fr,it,nl	https://archive.org/download/AmstradCPCManuals_201812/Heartland (Europe).pdf
Heavy Metal	fr	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Heavy Metal - Manual-FR.pdf
Hellgate	en	https://archive.org/download/Hellgate_1984_Llamasoft/Hellgate_1984_Llamasoft.pdf
Hero of the Golden Talisman	en-gb,de,fr,it	https://archive.org/download/herogolden_manual_202110/herogolden_manual.pdf
Hero Quest	en-gb,fr	https://archive.org/download/AmstradCPCManuals_201812/Hero Quest (France).pdf
Hero Quest II - Return of the Witchlord	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Hero Quest - Return of the Witchlord (Europe).pdf
Herobotix	en-gb,de	https://archive.org/download/Commodore64Manuals/Herobotixeurope.pdf
High Frontier	en	http://www.digitpress.com/library/manuals/c64/highfrontier.txt
Hobbit, The	en	http://www.digitpress.com/library/manuals/c64/hobbit.txt
Hollywood or Bust	en	http://www.digitpress.com/library/manuals/c64/Hollywood_or_Bust.txt
Hollywood Poker	en-gb,de,it,sv	https://archive.org/download/Hollywood_Poker_1988_Players/Hollywood_Poker_1988_Players.pdf
Hong Kong Phooey	en-gb,de,es,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Hong Kong Phooey - Manual-DE-ENG-FR-IT-SP.pdf
Hop Along Counting	en	https://archive.org/download/Hop_Along_Counting_1984_Fisher_Price/Hop_Along_Counting_1984_Fisher_Price.pdf
Hoppin' Mad	en	https://archive.org/download/Commodore64Manuals/HoppinMadeurope.pdf
Horace Goes Skiing	en	https://archive.org/download/Horace_Goes_Skiing_1984_Melbourne_House/Horace_Goes_Skiing_1984_Melbourne_House.pdf
Hostages	en-gb,fr	https://archive.org/download/AmstradCPCManuals_201812/Hostages (Europe) (Disk 1).pdf
Hover Bovver	en	http://www.digitpress.com/library/manuals/c64/yaksprogress.txt
Howard the Duck - Adventure on Volcano Island	en	https://archive.org/download/Howard_the_Duck_Adventure_on_Volcano_Island_1986_Activision_a/Howard_the_Duck_Adventure_on_Volcano_Island_1986_Activision_a.pdf
Hudson Hawk	en	http://www.digitpress.com/library/manuals/c64/Hudson_Hawk.txt
Human Killing Machine	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Human_Killing_Machine_-_1988_-_U.S._Gold_Ltd..htm
Human Race, The	en	http://www.digitpress.com/library/manuals/c64/humanr.txt
Humpty Dumpty	en	https://archive.org/download/Humpty_Dumpty_Meets_the_Fuzzy_Wuzzies_1984_Artic_Computing/Humpty_Dumpty_Meets_the_Fuzzy_Wuzzies_1984_Artic_Computing.pdf
Hunter's Moon	en	http://www.digitpress.com/library/manuals/c64/huntersmoon.txt
Hustler	en	http://www.digitpress.com/library/manuals/c64/Hustler.txt
Huxley Pig	en	http://www.digitpress.com/library/manuals/c64/HuxleyPig.txt
Hyper Sports	en	http://www.digitpress.com/library/manuals/c64/konami_collection.txt
Hyperbowl	en	https://archive.org/download/Commodore64Manuals/Hyperbowleurope.pdf
Hysteria	en	http://www.digitpress.com/library/manuals/c64/Hysteria.txt
I, Ball	en	https://archive.org/download/I_Ball_1987_Firebird_Software/I_Ball_1987_Firebird_Software.pdf
I, Ball 2 - The Quest for the Past	en	http://www.digitpress.com/library/manuals/c64/iball2.txt
Ikari Warriors	en	https://archive.org/download/Commodore64Manuals/IkariWarriorsdataEastusa.pdf
Impossible Mission	en	https://archive.org/download/Commodore64Manuals/ImpossibleMissionusa.pdf
Impossible Mission II	en	https://archive.org/download/AtariSTManuals_201812/Impossible Mission II.pdf
Indiana Jones and the Last Crusade	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Indiana Jones and the Last Crusade (Europe).pdf
Indiana Jones and the Temple of Doom	en	https://archive.org/download/Indiana_Jones_and_the_Temple_of_Doom_-_1989_-_Mindscape/Indiana_Jones_and_the_Temple_of_Doom_-_1989_-_Mindscape.pdf
Indoor Sports	en	http://www.digitpress.com/library/manuals/c64/indoor_sports.txt
Infodroid	de,es,fr,it,sv	https://archive.org/download/AmstradCPCManuals_201812/Infodroid (Europe).pdf
Inside Outing	en	https://archive.org/download/AmstradCPCManuals_201812/Inside Outing (Europe).pdf
International 3D Tennis	en-gb,de,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/International 3D Tennis - Manual-DE-ENG-IT.pdf
International Basketball	en	https://archive.org/download/International_Basketball_1984_Commodore/International_Basketball_1984_Commodore.pdf
International Football	en	https://archive.org/download/Commodore64Manuals/InternationalSoccerusa.pdf
International Karate	en-gb,de,es,fr,it	https://archive.org/download/ik_manual/ik_manual.pdf
International Ninja Rabbits	en-gb,de,es,fr,it,nl	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/International Ninja Rabbits - Manual-DE-ENG-FR.pdf
International Sports Challenge	en	https://www.gamesdatabase.org/Media/SYSTEM/Commodore_Amiga/Manual/formated/International_Sports_Challenge_-_1992_-_Empire_Software.htm
International Tennis	es	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/International_Tennis_-_1992_-_Zeppelin_Games.pdf
IO - Into Oblivion	en	https://archive.org/download/Commodore64Manuals/Io-IntoOblivioneurope.pdf
Iron Horse	en	http://www.digitpress.com/library/manuals/c64/konami_collection.txt
Italy 1990	en-gb,de,fr,it	https://archive.org/download/AmstradCPCManuals_201812/Italy 1990 (Europe).pdf
Italy 1990	it	https://archive.org/download/Italy90SoccerC64/Italy '90 Soccer C64.pdf
Ivan 'Ironman' Stewart's Super Off Road	en	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Ivan 'Ironman' Stewart's Super Off Road - Manual-ENG.pdf
Ivan 'Ironman' Stewart's Super Off Road	en-gb,de,fr,it	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Ivan 'Ironman' Stewart's Super Off Road - Manual-DE-ENG-FR-IT.pdf
Ivan 'Ironman' Stewart's Super Off Road	es	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Ivan 'Ironman' Stewart's Super Off Road - Manual-SP.pdf
Jack Attack	en	https://archive.org/download/Commodore64Manuals/JackAttackusa.pdf
Jack the Nipper II - In Coconut Capers	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Jack the Nipper II - In Coconut Capers (Europe).pdf
Jail Break	en-gb,da,de,es,fi,fr,it,nl,no,sv	https://archive.org/download/AmstradCPCManuals_201812/Jail Break (Europe).pdf
James Bond 007	en	https://archive.org/download/Commodore64Manuals/JamesBondusa.pdf
Jammin'	en	https://archive.org/download/Commodore64Manuals/Jammineurope.pdf
Jaws	en	http://www.digitpress.com/library/manuals/c64/jaws.txt
Jeep Command	en	https://archive.org/download/Commodore64Manuals/JeepCommandeurope.pdf
Jet Set Willy	en	http://www.digitpress.com/library/manuals/c64/JetSetWilly.txt
Jocky Wilson's Darts Challenge	en	https://archive.org/download/Jocky_Wilsons_Darts_Challenge_1988_Zeppelin_Games/Jocky_Wilsons_Darts_Challenge_1988_Zeppelin_Games.pdf
Jocky Wilson's Darts Compendium	en	https://project64.c64.org/Games/Jocky Wilson's Darts Compendium.txt
Joe Blade	en	https://archive.org/download/Commodore64Manuals/JoeBladeeurope.pdf
Judge Dredd	en	https://archive.org/download/Judge_Dredd_1987_Melbourne_House/Judge_Dredd_1987_Melbourne_House.pdf
Juice!	en	https://archive.org/download/Commodore64Manuals/Juiceusa.pdf
Jukebox	en	https://archive.org/download/Commodore64Manuals/JukeBoxusa.pdf
Jumpman Junior	en	https://archive.org/download/Commodore64Manuals/JumpmanJuniorusa.pdf
Jungle Hunt	en	https://archive.org/download/Commodore64Manuals/JungleHuntusa.pdf
Jupiter Lander	en	https://archive.org/download/game_manual_Jupiter_Lander/Jupiter_Lander.pdf
Jupiter Lander	ja	https://archive.org/download/Jupiter_Lander_1982_Commodore_Jp/Jupiter_Lander_1982_Commodore_Jp.pdf
Kane	en	http://www.digitpress.com/library/manuals/c64/Kane.txt
Karateka	en	https://archive.org/download/karateka-broderbund-1984/Karateka_Broderbund1984.pdf
Karateka	es	https://archive.org/download/KaratekaES/Karateka (ES).pdf
Karnov	en	https://archive.org/download/Karnov_1988_Activision/Karnov_1988_Activision.pdf
Karnov	en-gb,de,fr	https://archive.org/download/AmstradCPCManuals_201812/Karnov (Europe) (Disk 1).pdf
Kayleth	en	https://www.gamesdatabase.org/Media/SYSTEM/Sinclair_ZX_Spectrum/Manual/formated/Kayleth_-_1986_-_Adventuresoft_UK.pdf
Kenny Dalglish Soccer Manager	de	https://retro-commodore.eu/files/downloads/amigamanuals-xiik.net/Games/Kenny Dalglish Soccer Manager - Manual-DE.pdf
Kettle	en	https://archive.org/download/kentilla_manual/kentilla_manual.jpg
Kick Off 2	en	https://archive.org/download/kickoff2_manual/kickoff2_manual.pdf
Kickman	en	https://archive.org/download/Commodore64Manuals/Kickmanusa.pdf
Kickman	ja	https://archive.org/download/Kickman_1982_Commodore_Jp/Kickman_1982_Commodore_Jp.pdf
